suburb,year,address,bedrooms,contract date,price,block size,source,purpose
Ainslie,2019,6 Higgins Crescent,–,25/05/2019,$0,1004m2,Government Record,Single residential dwelling
Ainslie,2019,54 Foveaux Street,–,19/08/2019,$0,1349m2,Government Record,Single residential dwelling
Ainslie,2019,7 Duffy Street,–,26/12/2019,$0,867m2,Government Record,Single residential dwelling
Ainslie,2019,27 Sherbrooke Street,–,12/08/2019,$0,646m2,Government Record,Single residential dwelling
Ainslie,2019,198 Duffy Street,–,31/10/2019,$0,1035m2,Government Record,Single residential dwelling
Ainslie,2019,2/6B Alt Crescent,–,19/11/2019,$0,1544m2,Government Record,Multiple unit dwelling
Ainslie,2019,56 Duffy Street,–,22/02/2019,$0,1020m2,Government Record,Single residential dwelling
Ainslie,2019,21 Shortland Crescent,–,05/01/2019,$0,725m2,Government Record,Single residential dwelling
Ainslie,2019,25 Bonney Street,–,20/09/2019,$0,1116m2,Government Record,Single residential dwelling
Ainslie,2019,2/9 Leslie Street,–,31/08/2019,$0,1061m2,Government Record,Multiple unit dwelling
Ainslie,2019,2/28 Campbell Street,–,04/05/2019,$0,1151m2,Government Record,Multiple unit dwelling
Ainslie,2019,16 Toms Crescent,–,30/05/2019,$0,1284m2,Government Record,Single residential dwelling
Ainslie,2019,232 Duffy Street,–,30/03/2019,$0,784m2,Government Record,Single residential dwelling
Ainslie,2019,17 Ebden Street,4,16/02/2019,$0,903m2,Combined Record,Single residential dwelling
Ainslie,2019,30 Duffy Street,–,10/10/2019,$0,807m2,Government Record,Single residential dwelling
Ainslie,2019,7 Howe Crescent,4,11/04/2019,$0,785m2,Combined Record,Single residential dwelling...
Ainslie,2019,17 Cowper Street,–,25/09/2019,$0,973m2,Government Record,Single residential dwelling
Ainslie,2019,19 Canning Street,–,10/10/2019,$0,790m2,Government Record,Single residential dwelling
Ainslie,2019,26 Chisholm Street,2,13/03/2019,$0,694m2,Combined Record,Single residential dwelling
Ainslie,2019,4/18 Angas Street,–,16/08/2019,$0,2265m2,Government Record,Self care units for aged pe...
Ainslie,2020,4 Leslie Street,–,07/04/2020,"$2,450,000",1062m2,Government Record,Single residential dwelling
Ainslie,2020,15 Foveaux Street,4,25/07/2020,"$1,955,000",1028m2,Combined Record,Single residential dwelling
Ainslie,2020,58 Paterson Street,4,20/03/2020,"$1,925,000",934m2,Combined Record,Single residential dwelling
Ainslie,2020,36 Cox Street,–,10/12/2020,"$1,900,000",1176m2,Government Record,Single residential dwelling
Ainslie,2020,48 Cowper Street,4,07/12/2020,"$1,862,500",885m2,Combined Record,Single residential dwelling...
Ainslie,2020,65 Ebden Street,5,21/03/2020,"$1,825,000",1017m2,Combined Record,Single residential dwelling...
Ainslie,2020,27 Raymond Street,4,17/07/2020,"$1,810,000",882m2,Combined Record,Single residential dwelling
Ainslie,2020,4 Alt Crescent,4,11/08/2020,"$1,740,000",1032m2,Combined Record,Single residential dwelling
Ainslie,2020,17 Herbert Crescent,–,04/09/2020,"$1,700,000",958m2,Government Record,Single residential dwelling
Ainslie,2020,37 Herbert Crescent,4,22/10/2020,"$1,628,000",842m2,Combined Record,Single residential dwelling
Ainslie,2020,25 Shortland Crescent,4,17/04/2020,"$1,575,000",724m2,Combined Record,Single residential dwelling
Ainslie,2020,34 Duffy Street,4,04/07/2020,"$1,550,000",809m2,Combined Record,Single residential dwelling
Ainslie,2020,121 Hannan Crescent,–,17/09/2020,"$1,525,000",725m2,Government Record,Single residential dwelling...
Ainslie,2020,88 Officer Place,–,12/02/2020,"$1,500,000",1436m2,Government Record,Single residential dwelling
Ainslie,2020,82 Ebden Street,4,22/06/2020,"$1,500,000",1017m2,Combined Record,Single residential dwelling
Ainslie,2020,1/143 Duffy Street,–,26/08/2020,"$1,495,000",720m2,Government Record,Multiple unit dwelling
Ainslie,2020,143 Duffy Street *,4,07/09/2020,"$1,489,000",720m2,Allhomes Record,–
Ainslie,2020,33 Stephen Street,–,09/06/2020,"$1,450,000",636m2,Government Record,Single residential dwelling
Ainslie,2020,2/26A Campbell Street,–,07/04/2020,"$1,400,000",1410m2,Government Record,Multiple unit dwelling
Ainslie,2020,13 Cox Street,–,12/11/2020,"$1,390,000",822m2,Government Record,Single residential dwelling
Ainslie,2020,2/143 Duffy Street,–,26/08/2020,"$1,389,000",720m2,Government Record,Multiple unit dwelling
Ainslie,2020,61 Duffy Street,4,22/02/2020,"$1,365,000",1057m2,Combined Record,Single residential dwelling
Ainslie,2020,40 Cowper Street,3,14/11/2020,"$1,320,000",920m2,Combined Record,Single residential dwelling
Ainslie,2020,2/14 Canning Street,4,26/09/2020,"$1,317,000",2048m2,Combined Record,Multiple unit dwelling
Ainslie,2020,44 Limestone Avenue,–,14/11/2020,"$1,310,000",1521m2,Government Record,Single residential dwelling
Ainslie,2020,1 Quick Street *,4,14/11/2020,"$1,310,000",1521m2,Allhomes Record,–
Ainslie,2020,284 Duffy Street,–,29/10/2020,"$1,300,000",947m2,Government Record,Single residential dwelling
Ainslie,2020,11 Leslie Street *,3,28/11/2020,"$1,300,000",555m2,Allhomes Record,–
Ainslie,2020,2/25 Ebden Street,–,19/11/2020,"$1,300,000",1132m2,Government Record,Multiple unit dwelling
Ainslie,2020,23 Toms Crescent,4,26/03/2020,"$1,290,000",1041m2,Combined Record,Single residential dwelling
Ainslie,2020,33 Ebden Street,2,19/10/2020,"$1,280,000",796m2,Combined Record,Single residential dwelling
Ainslie,2020,2/65 Tyson Street,–,19/11/2020,"$1,280,000",1154m2,Government Record,Multiple unit dwelling
Ainslie,2020,65B Tyson Street *,3,19/11/2020,"$1,280,000",0m2,Allhomes Record,–
Ainslie,2020,10A Ebden Street,4,23/04/2020,"$1,262,000",792m2,Combined Record,Single residential dwelling
Ainslie,2020,1 Officer Crescent,2,29/02/2020,"$1,241,000",1017m2,Combined Record,Single residential dwelling...
Ainslie,2020,53 Ebden Street,2,21/10/2020,"$1,230,000",1185m2,Combined Record,Single residential dwelling...
Ainslie,2020,6 Hawdon Street,–,25/08/2020,"$1,225,000",862m2,Government Record,Single residential dwelling
Ainslie,2020,1/6 Chisholm Street,–,19/02/2020,"$1,220,000",1301m2,Government Record,Multiple unit dwelling
Ainslie,2020,6A Chisholm Street *,3,19/02/2020,"$1,220,000",0m2,Allhomes Record,–
Ainslie,2020,78 Duffy Street,3,18/07/2020,"$1,200,000",704m2,Combined Record,Single residential dwelling
Ainslie,2020,11 Piper Street,–,20/08/2020,"$1,190,000",566m2,Government Record,Single residential dwelling...
Ainslie,2020,92 Ebden Street,4,22/02/2020,"$1,190,000",780m2,Combined Record,Single residential dwelling
Ainslie,2020,100 Wakefield Avenue,–,12/11/2020,"$1,180,000",1000m2,Government Record,Single residential dwelling
Ainslie,2020,17 Shortland Crescent,–,12/12/2020,"$1,150,000",741m2,Government Record,Single residential dwelling
Ainslie,2020,36 Cowper Street,3,16/09/2020,"$1,150,000",1017m2,Combined Record,Single residential dwelling...
Ainslie,2020,19 Foveaux Street,–,30/11/2020,"$1,140,000",1073m2,Government Record,Single residential dwelling
Ainslie,2020,101 Hannan Place,–,08/07/2020,"$1,100,000",711m2,Government Record,Single residential dwelling
Ainslie,2020,163 Duffy Street,4,23/04/2020,"$1,100,000",738m2,Combined Record,Single residential dwelling
Ainslie,2020,98 Duffy Street,–,31/08/2020,"$1,100,000",893m2,Government Record,Single residential dwelling
Ainslie,2020,71 Wakefield Avenue,3,01/07/2020,"$1,090,000",966m2,Combined Record,Single residential dwelling...
Ainslie,2020,1 Canning Street,–,07/03/2020,"$1,083,000",781m2,Government Record,Single residential dwelling
Ainslie,2020,17 Cox Street,–,02/12/2020,"$1,070,000",809m2,Government Record,Single residential dwelling...
Ainslie,2020,132 Duffy Street,3,04/07/2020,"$1,050,000",705m2,Combined Record,Single residential dwelling
Ainslie,2020,9 Tyson Street,–,18/03/2020,"$1,038,888",817m2,Government Record,Single residential dwelling
Ainslie,2020,7 Officer Crescent,3,08/12/2020,"$1,030,000",725m2,Combined Record,Single residential dwelling
Ainslie,2020,1/8A Rutherford Crescent,–,14/11/2020,"$1,025,000",1053m2,Government Record,Multiple unit dwelling
Ainslie,2020,8A Rutherford Crescent *,4,14/11/2020,"$1,025,000",517m2,Allhomes Record,–
Ainslie,2020,39 Raymond Street,3,25/06/2020,"$1,010,000",854m2,Combined Record,Single residential dwelling
Ainslie,2020,2/10B Hargraves Crescent,–,15/07/2020,"$1,000,000",1176m2,Government Record,Multiple unit dwelling
Ainslie,2020,49 Tyson Street,–,06/11/2020,"$997,000",850m2,Government Record,Single residential dwelling
Ainslie,2020,2/9 Leslie Street *,3,21/02/2020,"$989,151",0m2,Allhomes Record,–
Ainslie,2020,95 Wakefield Gardens,3,29/02/2020,"$980,000",840m2,Combined Record,Single residential dwelling
Ainslie,2020,10 Tyson Street,3,30/01/2020,"$972,500",836m2,Combined Record,Single residential dwelling
Ainslie,2020,34 Hoddle Gardens *,2,16/04/2020,"$963,400",743m2,Allhomes Record,–
Ainslie,2020,45 Sherbrooke Street,–,03/06/2020,"$900,000",656m2,Government Record,Single residential dwelling
Ainslie,2020,24 Hannan Crescent,2,05/03/2020,"$890,000",523m2,Combined Record,Single residential dwelling
Ainslie,2020,73 Officer Crescent,–,15/07/2020,"$840,000",668m2,Government Record,Single residential dwelling
Ainslie,2020,102 Majura Avenue,3,16/09/2020,"$777,000",490m2,Combined Record,Single residential dwelling
Ainslie,2020,175 Duffy Street,–,23/07/2020,"$750,000",1015m2,Government Record,Single residential dwelling
Ainslie,2020,2/143 Duffy Street,–,21/08/2020,"$740,000",720m2,Government Record,Multiple unit dwelling
Ainslie,2020,0/143 Duffy Street,–,21/08/2020,"$740,000",720m2,Government Record,Multiple unit dwelling
Ainslie,2020,1/143 Duffy Street,–,21/08/2020,"$740,000",720m2,Government Record,Multiple unit dwelling
Ainslie,2020,143 Duffy Street,–,21/08/2020,"$740,000",720m2,Government Record,Single residential dwelling
Ainslie,2020,2 Salomons Place,–,30/04/2020,"$699,000",493m2,Government Record,Single residential dwelling
Ainslie,2020,108 Officer Crescent *,3,30/04/2020,"$699,000",0m2,Allhomes Record,–
Ainslie,2020,46 Majura Avenue,–,20/10/2020,"$675,000",517m2,Government Record,Single residential dwelling
Ainslie,2020,1/95 Ebden Street,2,22/05/2020,"$673,000",1103m2,Combined Record,Multiple unit dwelling
Ainslie,2020,56 Duffy Street,–,01/11/2020,"$442,500",1020m2,Government Record,Single residential dwelling
Ainslie,2020,75 Sherbrooke Street,–,04/11/2020,$0,595m2,Government Record,Single residential dwelling
Ainslie,2020,71 Cowper Street,–,28/03/2020,$0,619m2,Government Record,Single residential dwelling
Ainslie,2020,35 Duffy Street,–,10/12/2020,$0,873m2,Government Record,Single residential dwelling...
Ainslie,2020,54 Limestone Avenue,–,13/09/2020,$0,1508m2,Government Record,Single residential dwelling
Ainslie,2020,53 Tyson Street,–,17/12/2020,$0,1281m2,Government Record,Single residential dwelling
Ainslie,2020,32 Paterson Street,–,24/10/2020,$0,697m2,Government Record,Single residential dwelling
Ainslie,2020,4 Hoddle Gardens,–,13/06/2020,$0,743m2,Government Record,Single residential dwelling
Ainslie,2020,2 Calvert Street,–,08/05/2020,$0,730m2,Government Record,Single residential dwelling
Ainslie,2020,1/95 Ebden Street,–,23/01/2020,$0,1103m2,Government Record,Multiple unit dwelling
Ainslie,2020,18 Ebden Street,–,20/02/2020,$0,758m2,Government Record,Single residential dwelling
Ainslie,2020,22 Angas Street,–,24/04/2020,$0,1054m2,Government Record,Single residential dwelling
Ainslie,2020,19 Fairbridge Crescent,–,13/02/2020,$0,1126m2,Government Record,Single residential dwelling
Ainslie,2020,92 Duffy Street,–,30/10/2020,$0,689m2,Government Record,Single residential dwelling
Ainslie,2021,24 Raymond Street *,4,25/09/2021,"$2,440,000",0m2,Allhomes Record,–
Ainslie,2021,18 Higgins Crescent,–,24/07/2021,"$2,400,000",1176m2,Government Record,Single residential dwelling
Ainslie,2021,94 Wakefield Gardens,–,04/03/2021,"$2,220,000",806m2,Government Record,Single residential dwelling
Ainslie,2021,105 Duffy Street *,4,21/08/2021,"$2,110,000",0m2,Allhomes Record,–
Ainslie,2021,62 Raymond Street,4,10/04/2021,"$1,955,000",564m2,Combined Record,Single residential dwelling
Ainslie,2021,104 Duffy Street,4,27/03/2021,"$1,950,000",1188m2,Combined Record,Single residential dwelling
Ainslie,2021,1 Dibbs Street,4,30/03/2021,"$1,885,000",711m2,Combined Record,Single residential dwelling
Ainslie,2021,7 Duffy Street,–,12/03/2021,"$1,830,000",867m2,Government Record,Single residential dwelling
Ainslie,2021,44 Foveaux Street,–,24/07/2021,"$1,811,000",953m2,Government Record,Single residential dwelling
Ainslie,2021,31 Chisholm Street *,0,04/05/2021,"$1,751,000",861m2,Allhomes Record,–
Ainslie,2021,139 Duffy Street,6,03/03/2021,"$1,735,000",1160m2,Combined Record,Single residential dwelling
Ainslie,2021,62 Limestone Avenue,–,27/05/2021,"$1,720,000",1102m2,Government Record,Single residential dwelling
Ainslie,2021,26 Sherbrooke Street,4,17/04/2021,"$1,710,000",832m2,Combined Record,Single residential dwelling
Ainslie,2021,17 Davenport Street *,3,24/07/2021,"$1,695,000",0m2,Allhomes Record,–
Ainslie,2021,9 Bonney Street,4,27/02/2021,"$1,691,000",1054m2,Combined Record,Single residential dwelling...
Ainslie,2021,2/21A Cowper Street,–,17/07/2021,"$1,690,000",1140m2,Government Record,Multiple unit dwelling
Ainslie,2021,198 Duffy Street,4,09/06/2021,"$1,685,000",1035m2,Combined Record,Single residential dwelling
Ainslie,2021,26 Paterson Street,–,13/03/2021,"$1,680,000",697m2,Government Record,Single residential dwelling
Ainslie,2021,15 Howe Crescent,–,10/02/2021,"$1,650,000",830m2,Government Record,Single residential dwelling
Ainslie,2021,10 Ebden Street,3,28/01/2021,"$1,621,000",831m2,Combined Record,Single residential dwelling
Ainslie,2021,4 Hoddle Gardens *,3,25/09/2021,"$1,610,000",743m2,Allhomes Record,–
Ainslie,2021,83 Hannan Crescent,–,21/05/2021,"$1,590,000",694m2,Government Record,Single residential dwelling
Ainslie,2021,32 Canning Street,–,11/03/2021,"$1,570,000",826m2,Government Record,Single residential dwelling
Ainslie,2021,36A Duffy Street *,3,04/02/2021,"$1,560,000",404m2,Allhomes Record,–
Ainslie,2021,2/36 Duffy Street,–,04/02/2021,"$1,560,000",809m2,Government Record,Multiple unit dwelling
Ainslie,2021,19 Duffy Street,–,19/02/2021,"$1,550,000",867m2,Government Record,Single residential dwelling
Ainslie,2021,53 Tyson Street,–,19/06/2021,"$1,515,000",1281m2,Government Record,Single residential dwelling
Ainslie,2021,93 Ebden Street,–,24/02/2021,"$1,485,000",836m2,Government Record,Single residential dwelling
Ainslie,2021,7 Gillen Street,2,19/01/2021,"$1,485,000",641m2,Combined Record,Single residential dwelling
Ainslie,2021,92 Duffy Street,3,13/03/2021,"$1,460,000",689m2,Combined Record,Single residential dwelling
Ainslie,2021,19 Shortland Crescent,–,17/04/2021,"$1,436,000",725m2,Government Record,Single residential dwelling
Ainslie,2021,102 Limestone Avenue,–,16/06/2021,"$1,427,000",1040m2,Government Record,Single residential dwelling
Ainslie,2021,54 Limestone Avenue,3,14/04/2021,"$1,400,000",1508m2,Combined Record,Single residential dwelling
Ainslie,2021,2A Ebden Street *,0,04/05/2021,"$1,385,000",720m2,Allhomes Record,–
Ainslie,2021,19 Fairbridge Crescent,–,24/06/2021,"$1,355,000",1126m2,Government Record,Single residential dwelling
Ainslie,2021,31A Raymond Street *,3,23/09/2021,"$1,335,000",439m2,Allhomes Record,–
Ainslie,2021,43 Campbell Street,–,14/04/2021,"$1,330,000",808m2,Government Record,Single residential dwelling...
Ainslie,2021,2/15 Chisholm Street,–,08/05/2021,"$1,322,000",1114m2,Government Record,Multiple unit dwelling
Ainslie,2021,51 Sherbrooke Street,3,28/05/2021,"$1,320,000",721m2,Combined Record,Single residential dwelling...
Ainslie,2021,187 Duffy Street,–,23/06/2021,"$1,310,000",877m2,Government Record,Single residential dwelling...
Ainslie,2021,32 Paterson Street,–,24/02/2021,"$1,305,000",697m2,Government Record,Single residential dwelling
Ainslie,2021,40 Hawdon Street,3,13/03/2021,"$1,301,000",711m2,Combined Record,Single residential dwelling...
Ainslie,2021,11 Gillen Street,3,28/05/2021,"$1,286,000",757m2,Combined Record,Single residential dwelling...
Ainslie,2021,75 Officer Crescent,–,27/03/2021,"$1,271,000",654m2,Government Record,Single residential dwelling
Ainslie,2021,22 Angas Street,5,13/01/2021,"$1,250,000",1054m2,Combined Record,Single residential dwelling
Ainslie,2021,35 Ebden Street,–,08/02/2021,"$1,225,000",801m2,Government Record,Single residential dwelling
Ainslie,2021,21 Agnew Street,–,14/04/2021,"$1,220,000",729m2,Government Record,Single residential dwelling
Ainslie,2021,30 O'Connell Street,3,19/05/2021,"$1,220,000",837m2,Combined Record,Single residential dwelling
Ainslie,2021,136 Duffy Street,–,27/03/2021,"$1,205,000",835m2,Government Record,Single residential dwelling
Ainslie,2021,72 Hannan Crescent,–,22/05/2021,"$1,200,000",654m2,Government Record,Single residential dwelling
Ainslie,2021,10 Gillen Street,–,08/05/2021,"$1,200,000",705m2,Government Record,Single residential dwelling
Ainslie,2021,24 Calvert Street,3,13/03/2021,"$1,183,000",660m2,Combined Record,Single residential dwelling
Ainslie,2021,61 Sherbrooke Street,–,31/03/2021,"$1,175,000",656m2,Government Record,Single residential dwelling
Ainslie,2021,10 Calvert Street,3,30/01/2021,"$1,165,000",867m2,Combined Record,Single residential dwelling
Ainslie,2021,74 Majura Avenue,–,14/04/2021,"$1,151,200",464m2,Government Record,Single residential dwelling
Ainslie,2021,1/6 Cowper Street,–,27/02/2021,"$1,126,000",904m2,Government Record,Multiple unit dwelling
Ainslie,2021,6 Cowper Street *,2,27/02/2021,"$1,126,000",655m2,Allhomes Record,–
Ainslie,2021,26 O'Connell Street,3,31/03/2021,"$1,125,000",834m2,Combined Record,Single residential dwelling
Ainslie,2021,75 Sherbrooke Street,–,10/02/2021,"$1,120,000",595m2,Government Record,Single residential dwelling
Ainslie,2021,21 Piper Street,2,25/05/2021,"$1,100,000",565m2,Combined Record,Single residential dwelling...
Ainslie,2021,96 Wakefield Gardens,–,04/03/2021,"$1,035,000",892m2,Government Record,Single residential dwelling
Ainslie,2021,2/6 Hobson Place,–,24/06/2021,"$1,025,000",1090m2,Government Record,Multiple unit dwelling
Ainslie,2021,196 Majura Avenue *,3,13/03/2021,"$950,000",0m2,Allhomes Record,–
Ainslie,2021,2/196 Majura Avenue,–,13/03/2021,"$950,000",915m2,Government Record,Multiple unit dwelling
Ainslie,2021,9 Winnecke Street,–,23/06/2021,"$890,000",572m2,Government Record,Single residential dwelling
Ainslie,2021,2/95 Ebden Street,2,18/02/2021,"$735,000",1103m2,Combined Record,Multiple unit dwelling
Ainslie,2021,6 Bodel Place,–,25/03/2021,"$720,000",284m2,Government Record,Single residential dwelling
