site,street,suburb,state,date,arrival,departure,contact,lng,lat,geometry,time
Woolworths Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-14,16:20:00,17:00:00,monitor,149.0652762,-35.2386596,POINT (149.0652762 -35.2386596),0.0
Woolworths Calwell,"Calwell Shopping Centre, 7 Webber Crescent",Calwell,ACT,2021-09-14,19:55:00,20:40:00,monitor,149.114712,-35.4346893,POINT (149.114712 -35.4346893),0.0
Woolworths Charnwood,25-30 Charnwood Place,Charnwood,ACT,2021-09-14,19:50:00,20:30:00,monitor,149.0328578,-35.2045295,POINT (149.0328578 -35.2045295),0.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-14,16:15:00,17:00:00,monitor,149.092436,-35.457644,POINT (149.092436 -35.457644),0.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-09-14,15:45:00,16:30:00,monitor,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-09-14,20:40:00,21:30:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Metro Cameron Avenue,1/6 Grazier Lane,Belconnen,ACT,2021-09-14,10:20:00,11:00:00,monitor,149.0719813,-35.2401725,POINT (149.0719813 -35.2401725),0.0
Woolworths Metro Cameron Avenue,1/6 Grazier Lane,Belconnen,ACT,2021-09-14,13:30:00,13:40:00,monitor,149.0719813,-35.2401725,POINT (149.0719813 -35.2401725),0.0
Yarra Rossa Construction Site,51 Hicks Street,Red Hill,ACT,2021-09-14,07:00:00,16:00:00,casual,149.1308464,-35.3409846,POINT (149.1308464 -35.3409846),9.0
Abode Woden,10 Bowes Street,Phillip,ACT,2021-09-15,00:00:00,23:59:00,monitor,149.0859214,-35.3433861,POINT (149.0859214 -35.3433861),23.0
B&B Emporium Kaleen,"Kaleen Plaza, Georgina Crescent",Kaleen,ACT,2021-09-15,16:10:00,16:45:00,monitor,149.1033686,-35.2202159,POINT (149.1033686 -35.2202159),0.0
Busy Bees at Crace,44 Hillcrest Street,Crace,ACT,2021-09-15,08:45:00,14:30:00,casual,149.1074833,-35.2029196,POINT (149.1074833 -35.2029196),5.0
Caltex (EG Fuel) Conder,Tharwa Drive,Conder,ACT,2021-09-15,12:20:00,13:10:00,monitor,149.0917041,-35.4582538,POINT (149.0917041 -35.4582538),0.0
Caremore Pharmacy Kippax,8 Hardwick Crescent,Holt,ACT,2021-09-15,13:00:00,13:40:00,monitor,149.0195783,-35.221893,POINT (149.0195783 -35.221893),0.0
Coles Express Gungahlin,1 Ginn Street,Gungahlin,ACT,2021-09-15,18:20:00,19:00:00,monitor,149.1267488,-35.1834139,POINT (149.1267488 -35.1834139),0.0
Coles Express Gungahlin,1 Ginn Street,Gungahlin,ACT,2021-09-15,18:20:00,19:00:00,monitor,149.1267488,-35.1834139,POINT (149.1267488 -35.1834139),0.0
Coles Express Phillip,172 Melrose Drive,Phillip,ACT,2021-09-15,19:20:00,20:00:00,monitor,149.0851387,-35.3500068,POINT (149.0851387 -35.3500068),0.0
Coles Kaleen,"Plaza Shopping Centre, 1 Maribyrnong Avenue",Kaleen,ACT,2021-09-15,16:00:00,16:40:00,monitor,149.1028228,-35.2202787,POINT (149.1028228 -35.2202787),0.0
Communities@Work Tuggeranong - Community Pantry,245 Cowlishaw Street,Greenway,ACT,2021-09-15,14:00:00,15:05:00,casual,149.0693724,-35.4151964,POINT (149.0693724 -35.4151964),1.0
Domino's Kambah,9 Jenke Circuit,Kambah,ACT,2021-09-15,17:20:00,18:00:00,monitor,149.0683798,-35.3930055,POINT (149.0683798 -35.3930055),0.0
Hindmarsh Campbell - Seventy One,71 Constitution Avenue,Campbell,ACT,2021-09-15,06:40:00,17:00:00,casual,149.144599,-35.291031,POINT (149.144599 -35.291031),10.0
IGA Kambah,2 Castley Circuit,Kambah,ACT,2021-09-15,17:20:00,18:00:00,monitor,149.0519104,-35.3885949,POINT (149.0519104 -35.3885949),0.0
Kaleen Plaza Pharmacy,"Shop 5, Kaleen Shopping Centre, Georgina Crescent",Kaleen,ACT,2021-09-15,16:30:00,17:15:00,monitor,149.1036482,-35.2202187,POINT (149.1036482 -35.2202187),0.0
Lanyon Asian Grocery,15 Sidney Nolan Street,Conder,ACT,2021-09-15,12:00:00,12:30:00,monitor,149.0940176,-35.4575209,POINT (149.0940176 -35.4575209),0.0
Lanyon Marketplace Shopping Centre,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-15,11:30:00,12:30:00,monitor,149.0924747,-35.457682,POINT (149.0924747 -35.457682),1.0
Services Australia (Calypso Cafe),57 Athlon Drive,Greenway,ACT,2021-09-15,12:20:00,13:10:00,casual,149.0654739,-35.421141,POINT (149.0654739 -35.421141),0.0
Services Australia (Level 3 North Wing),57 Athlon Drive,Greenway,ACT,2021-09-15,08:20:00,17:00:00,casual,149.0654739,-35.421141,POINT (149.0654739 -35.421141),8.0
Services Australia Building,57 Athlon Drive,Greenway,ACT,2021-09-15,08:20:00,17:00:00,monitor,149.0654739,-35.421141,POINT (149.0654739 -35.421141),8.0
SUPABARN Crace,56 Abena Avenue,Crace,ACT,2021-09-15,12:45:00,15:30:00,monitor,149.1075757,-35.2020605,POINT (149.1075757 -35.2020605),2.0
SUPABARN Crace,56 Abena Avenue,Crace,ACT,2021-09-15,12:45:00,13:30:00,monitor,149.1075757,-35.2020605,POINT (149.1075757 -35.2020605),0.0
United Petroleum Kambah,150 O'Halloran Circuit,Kambah,ACT,2021-09-15,19:45:00,20:15:00,monitor,149.0689715,-35.3926772,POINT (149.0689715 -35.3926772),0.0
Woolworths Charnwood,25-30 Charnwood Place,Charnwood,ACT,2021-09-15,17:00:00,18:00:00,casual,149.0328578,-35.2045295,POINT (149.0328578 -35.2045295),1.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-15,11:30:00,12:30:00,casual,149.092436,-35.457644,POINT (149.092436 -35.457644),1.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-09-15,18:25:00,19:15:00,casual,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-09-15,12:50:00,13:30:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-09-15,19:40:00,20:20:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-09-15,20:25:00,21:00:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Yarra Rossa Construction Site,51 Hicks Street,Red Hill,ACT,2021-09-15,07:00:00,16:00:00,casual,149.1308464,-35.3409846,POINT (149.1308464 -35.3409846),9.0
BWS Calwell,"Calwell Shopping Centre, 7 Webber Crescent",Calwell,ACT,2021-09-16,13:45:00,14:30:00,monitor,149.114126,-35.434588,POINT (149.114126 -35.434588),0.0
Chemist Warehouse Majura Park,"Majura Park Shopping Centre, 18/26 Spitfire Avenue",Canberra Airport,ACT,2021-09-16,15:10:00,16:00:00,monitor,149.1907314,-35.2985101,POINT (149.1907314 -35.2985101),0.0
Coles Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-09-16,12:50:00,13:30:00,monitor,149.1343475,-35.2784476,POINT (149.1343475 -35.2784476),0.0
Coles Express Dickson,Corner Antill Street and Badham Street,Dickson,ACT,2021-09-16,06:50:00,07:30:00,monitor,149.137626,-35.2490871,POINT (149.137626 -35.2490871),0.0
Coles Wanniassa,12 Sangster Place,Wanniassa,ACT,2021-09-16,14:10:00,14:35:00,casual,149.0854722,-35.3912889,POINT (149.0854722 -35.3912889),0.0
Dawat-e-Punjab,123/68 Hardwick Crescent,Holt,ACT,2021-09-16,18:35:00,19:15:00,monitor,149.0192026,-35.2203995,POINT (149.0192026 -35.2203995),0.0
Friendly Grocer Hughes,16 Hughes Place,Hughes,ACT,2021-09-16,10:00:00,11:00:00,monitor,149.0937384,-35.3335607,POINT (149.0937384 -35.3335607),1.0
Friendly Grocer Hughes,16 Hughes Place,Hughes,ACT,2021-09-16,17:00:00,18:00:00,monitor,149.0937384,-35.3335607,POINT (149.0937384 -35.3335607),1.0
McDonald's Tuggeranong,Cowlishaw Street,Greenway,ACT,2021-09-16,08:30:00,09:20:00,monitor,149.0699407,-35.4154799,POINT (149.0699407 -35.4154799),0.0
Phillip Medical & Dental Centre (General Practice and Pharmacy only),33 Colbee Court,Phillip,ACT,2021-09-16,13:48:00,14:42:00,casual,149.0897732,-35.351947,POINT (149.0897732 -35.351947),0.0
TSG Charnwood,9/7 Charnwood Place,Charnwood,ACT,2021-09-16,08:40:00,09:20:00,monitor,149.0333143,-35.2046289,POINT (149.0333143 -35.2046289),0.0
Watson Pharmacy,1 Watson Place,Watson,ACT,2021-09-16,10:30:00,11:30:00,monitor,149.153282,-35.239029,POINT (149.153282 -35.239029),1.0
Woolworths Charnwood,25-30 Charnwood Place,Charnwood,ACT,2021-09-16,08:35:00,09:15:00,monitor,149.0328578,-35.2045295,POINT (149.0328578 -35.2045295),0.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-16,07:00:00,12:00:00,monitor,149.092436,-35.457644,POINT (149.092436 -35.457644),5.0
Woolworths Kambah,"Kambah Village Shopping Centre, Primmer Court",Kambah,ACT,2021-09-16,15:45:00,16:15:00,monitor,149.0572697,-35.3801801,POINT (149.0572697 -35.3801801),0.0
Yarra Rossa Construction Site,51 Hicks Street,Red Hill,ACT,2021-09-16,07:00:00,10:30:00,casual,149.1308464,-35.3409846,POINT (149.1308464 -35.3409846),3.0
Ampol Foodary Calwell,Were Street,Calwell,ACT,2021-09-17,20:35:00,21:15:00,monitor,149.1125232,-35.4347448,POINT (149.1125232 -35.4347448),0.0
Bakers Delight Tuggeranong,"South Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-09-17,06:00:00,09:00:00,casual,149.0674448,-35.4170781,POINT (149.0674448 -35.4170781),3.0
BP Chisholm,3 Benham Street,Chisholm,ACT,2021-09-17,13:30:00,14:00:00,monitor,149.1282,-35.4131,POINT (149.1282 -35.4131),0.0
BP Fyshwick,2 Ipswich Street,Fyshwick,ACT,2021-09-17,10:00:00,10:40:00,monitor,149.1626173,-35.329983,POINT (149.1626173 -35.329983),0.0
BWS Calwell,"Calwell Shopping Centre, 7 Webber Crescent",Calwell,ACT,2021-09-17,13:50:00,14:40:00,monitor,149.114126,-35.434588,POINT (149.114126 -35.434588),0.0
Calwell Early Childhood Centre,16 Webber Crescent,Calwell,ACT,2021-09-17,08:00:00,17:00:00,close,149.1140373,-35.4359206,POINT (149.1140373 -35.4359206),9.0
Canberra Imaging Gungahlin (Waiting Room and Reception Area only),121/43 Hibberson Street,Gungahlin,ACT,2021-09-17,10:45:00,12:05:00,casual,149.1361934,-35.1856053,POINT (149.1361934 -35.1856053),1.0
Capital Chemist Calwell,"Calwell Shopping Centre, 7 Webber Crescent",Calwell,ACT,2021-09-17,13:50:00,14:40:00,monitor,149.1140869,-35.4346815,POINT (149.1140869 -35.4346815),0.0
City Family Practice,161 London Circuit,Canberra City,ACT,2021-09-17,11:00:00,12:30:00,casual,149.13124,-35.280178,POINT (149.13124 -35.280178),1.0
Coles Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-17,10:30:00,11:30:00,monitor,149.064837,-35.237949,POINT (149.064837 -35.237949),1.0
Coles Express Belconnen,Lathlain Street and Wignall Place,Belconnen,ACT,2021-09-17,06:50:00,07:30:00,monitor,149.063986,-35.242649,POINT (149.063986 -35.242649),0.0
Coles Express Manuka,Canberra Avenue and Flinders Way,Griffith,ACT,2021-09-17,08:00:00,09:30:00,monitor,149.1343535,-35.3200444,POINT (149.1343535 -35.3200444),1.0
Coles Wanniassa,12 Sangster Place,Wanniassa,ACT,2021-09-17,16:00:00,16:30:00,monitor,149.0854722,-35.3912889,POINT (149.0854722 -35.3912889),0.0
Commonwealth Bank Tuggeranong,175 Anketell Street,Greenway,ACT,2021-09-17,12:05:00,12:50:00,monitor,149.0678568,-35.4153694,POINT (149.0678568 -35.4153694),0.0
KFC Woden,48 Botany Street,Phillip,ACT,2021-09-17,11:10:00,12:00:00,monitor,149.0887519,-35.3493546,POINT (149.0887519 -35.3493546),0.0
Liquor Legends Charnwood,121 Tillyard Drive,Charnwood,ACT,2021-09-17,09:20:00,10:00:00,monitor,149.0441752,-35.1984971,POINT (149.0441752 -35.1984971),0.0
Little Theo's (entry into store only),3 Carleton Street,Kambah,ACT,2021-09-17,17:00:00,21:00:00,close,149.0501755,-35.38320909999999,POINT (149.0501755 -35.38320909999999),4.0
The Pharmacy on Petrie,148 Bunda Street,Canberra City,ACT,2021-09-17,12:30:00,13:00:00,monitor,149.1335326,-35.2788096,POINT (149.1335326 -35.2788096),0.0
TSG Wanniassa,12 Sangster Place,Wanniassa,ACT,2021-09-17,16:20:00,17:00:00,monitor,149.085645,-35.3911367,POINT (149.085645 -35.3911367),0.0
United Petroleum Kambah,150 O'Halloran Circuit,Kambah,ACT,2021-09-17,08:45:00,09:30:00,monitor,149.0689715,-35.3926772,POINT (149.0689715 -35.3926772),0.0
United Petroleum Kambah,150 O'Halloran Circuit,Kambah,ACT,2021-09-17,20:00:00,20:30:00,monitor,149.0689715,-35.3926772,POINT (149.0689715 -35.3926772),0.0
Woolworths Calwell," Calwell Shopping Centre, 7 Webber Crescent",Calwell,ACT,2021-09-17,17:45:00,18:30:00,monitor,149.114712,-35.4346893,POINT (149.114712 -35.4346893),0.0
Woolworths Kambah,"Kambah Village Shopping Centre, Primmer Court",Kambah,ACT,2021-09-17,14:30:00,15:20:00,casual,149.0572697,-35.3801801,POINT (149.0572697 -35.3801801),0.0
Zambrero Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-17,18:35:00,19:10:00,monitor,149.0987826,-35.4040299,POINT (149.0987826 -35.4040299),0.0
Ainslie Cellars,7 Edgar Street,Ainslie,ACT,2021-09-18,12:00:00,12:50:00,monitor,149.1451538,-35.2622298,POINT (149.1451538 -35.2622298),0.0
Bakers Delight Tuggeranong,"South Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-09-18,06:00:00,09:00:00,casual,149.0674448,-35.4170781,POINT (149.0674448 -35.4170781),3.0
BWS Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-18,17:30:00,18:00:00,monitor,149.0986845,-35.4037618,POINT (149.0986845 -35.4037618),0.0
Caltex (EG Fuel) Hume,94-96 Sheppard Street,Hume,ACT,2021-09-18,05:45:00,06:30:00,monitor,149.162475,-35.3924627,POINT (149.162475 -35.3924627),0.0
Coffee Guru Wanniassa,Shop 1/12 Sangster Place,Wanniassa,ACT,2021-09-18,12:20:00,12:50:00,monitor,149.085645,-35.3911367,POINT (149.085645 -35.3911367),0.0
Coles Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-09-18,11:45:00,12:30:00,monitor,149.1343475,-35.2784476,POINT (149.1343475 -35.2784476),0.0
Coles Express Phillip,172 Melrose Drive,Phillip,ACT,2021-09-18,07:25:00,08:00:00,monitor,149.0851387,-35.3500068,POINT (149.0851387 -35.3500068),0.0
Coles Wanniassa,12 Sangster Place,Wanniassa,ACT,2021-09-18,10:10:00,10:50:00,monitor,149.0854722,-35.3912889,POINT (149.0854722 -35.3912889),0.0
Cooleman Court Shopping Centre,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-09-18,13:00:00,14:00:00,monitor,149.0526436,-35.3412617,POINT (149.0526436 -35.3412617),1.0
Go Vita Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-09-18,11:35:00,12:20:00,monitor,149.1333773,-35.2786202,POINT (149.1333773 -35.2786202),0.0
KFC Woden,48 Botany Street,Phillip,ACT,2021-09-18,17:05:00,18:00:00,casual,149.0887519,-35.3493546,POINT (149.0887519 -35.3493546),0.0
Kingsley’s Chicken Erindale,5/20 Gartside Street,Wanniassa,ACT,2021-09-18,12:00:00,14:00:00,monitor,149.0997253,-35.4057929,POINT (149.0997253 -35.4057929),2.0
Little Theo's (entry into store only),3 Carleton Street,Kambah,ACT,2021-09-18,17:00:00,19:30:00,close,149.0501755,-35.38320909999999,POINT (149.0501755 -35.38320909999999),2.0
Madina Market Greenway,146 Scollay Street,Greenway,ACT,2021-09-18,17:30:00,18:00:00,casual,149.066005,-35.418421,POINT (149.066005 -35.418421),0.0
Mawson Halal Market,79 Mawson Place,Mawson,ACT,2021-09-18,16:00:00,16:30:00,monitor,149.0942951,-35.3653047,POINT (149.0942951 -35.3653047),0.0
Penny University Cafe,15 Kennedy Street,Kingston,ACT,2021-09-18,07:30:00,08:30:00,monitor,149.1406107,-35.3162565,POINT (149.1406107 -35.3162565),1.0
Rye Cafe,9 Lonsdale Street,Braddon,ACT,2021-09-18,10:45:00,11:30:00,monitor,149.132255,-35.2746137,POINT (149.132255 -35.2746137),0.0
SUPAEXPRESS Watson,5 Watson Place,Watson,ACT,2021-09-18,11:30:00,12:30:00,monitor,149.1535201,-35.2388939,POINT (149.1535201 -35.2388939),1.0
Woolworths Charnwood,25-30 Charnwood Place,Charnwood,ACT,2021-09-18,07:10:00,08:15:00,casual,149.0328578,-35.2045295,POINT (149.0328578 -35.2045295),1.0
Woolworths Cooleman Court,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-09-18,15:30:00,16:30:00,casual,149.052681,-35.340765,POINT (149.052681 -35.340765),1.0
Woolworths Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-18,17:30:00,18:00:00,monitor,149.098702,-35.4035739,POINT (149.098702 -35.4035739),0.0
80/20 Food Braddon,1/18 Lonsdale Street,Braddon,ACT,2021-09-19,10:50:00,11:40:00,monitor,149.132964,-35.2735344,POINT (149.132964 -35.2735344),0.0
80/20 Food Kingston,5/10 Parbery Street,Kingston,ACT,2021-09-19,08:00:00,13:45:00,casual,149.1494419,-35.3169003,POINT (149.1494419 -35.3169003),5.0
ALDI Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:30:00,14:40:00,casual,149.0652505,-35.2387297,POINT (149.0652505 -35.2387297),1.0
ALDI Chisholm,36 Benham Street,Chisholm,ACT,2021-09-19,14:15:00,15:00:00,monitor,149.1293881,-35.414889,POINT (149.1293881 -35.414889),0.0
ALDI Conder,9 Sidney Nolan Street,Conder,ACT,2021-09-19,17:45:00,18:45:00,casual,149.0937063,-35.4567183,POINT (149.0937063 -35.4567183),1.0
Ali Baba Phillip,6/48 Botany Street,Phillip,ACT,2021-09-19,11:50:00,12:30:00,monitor,149.0888243,-35.3500573,POINT (149.0888243 -35.3500573),0.0
Bakers Delight Tuggeranong,"South Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-09-19,06:00:00,09:00:00,casual,149.0674448,-35.4170781,POINT (149.0674448 -35.4170781),3.0
BWS Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:00:00,14:30:00,monitor,149.0654861,-35.2394878,POINT (149.0654861 -35.2394878),1.0
Calvary Haydon Retirement Community Aged Care Facility (Mary Potter Household only) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-19,14:30:00,23:59:00,close,149.087947,-35.250192,POINT (149.087947 -35.250192),9.0
Calvary Haydon Retirement Community Aged Care Facility (refer to Close Contacts entry if attended Mary Potter or St Teresa Household) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-19,14:30:00,23:59:00,casual,149.087947,-35.250192,POINT (149.087947 -35.250192),9.0
Calvary Haydon Retirement Community Aged Care Facility (St. Teresa Household only) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-19,22:30:00,23:59:00,close,149.087947,-35.250192,POINT (149.087947 -35.250192),1.0
Coffee Guru Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-19,11:30:00,12:30:00,monitor,149.0985097,-35.4036043,POINT (149.0985097 -35.4036043),1.0
Coles Express Belconnen,Lathlain Street and Wignall Place,Belconnen,ACT,2021-09-19,07:10:00,07:50:00,monitor,149.063986,-35.242649,POINT (149.063986 -35.242649),0.0
Cooleman Court Shopping Centre,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-09-19,12:30:00,13:00:00,monitor,149.0526436,-35.3412617,POINT (149.0526436 -35.3412617),0.0
Elixir Cafe,Queen Elizabeth Terrace,Parkes,ACT,2021-09-19,10:30:00,11:10:00,monitor,149.1352154,-35.2974191,POINT (149.1352154 -35.2974191),0.0
IGA O'Connor,3 Sargood Street,O'Connor,ACT,2021-09-19,19:40:00,20:00:00,monitor,149.1222844,-35.2641187,POINT (149.1222844 -35.2641187),0.0
KFC Woden,48 Botany Street,Phillip,ACT,2021-09-19,13:25:00,14:10:00,monitor,149.0887519,-35.3493546,POINT (149.0887519 -35.3493546),0.0
Million Dollar Kiosk,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:00:00,14:30:00,monitor,149.0655129,-35.2382585,POINT (149.0655129 -35.2382585),1.0
Priceline Pharmacy Gowrie,3 Jeffries Street,Gowrie,ACT,2021-09-19,11:00:00,12:00:00,monitor,149.1096697,-35.4136847,POINT (149.1096697 -35.4136847),1.0
Roll'd Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,14:00:00,15:05:00,casual,149.064508,-35.238132,POINT (149.064508 -35.238132),1.0
Specsavers Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:30:00,14:30:00,casual,149.066557,-35.237791,POINT (149.066557 -35.237791),1.0
SUPABARN Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-09-19,21:30:00,22:00:00,monitor,149.0960254,-35.1741413,POINT (149.0960254 -35.1741413),0.0
SUPAEXPRESS Florey,1/26 Kesteven Street,Florey,ACT,2021-09-19,18:00:00,19:00:00,monitor,149.0544269,-35.2263914,POINT (149.0544269 -35.2263914),1.0
United Petroleum Amaroo,Corner Katherine Avenue and Horse Park Drive,Amaroo,ACT,2021-09-19,17:30:00,18:00:00,monitor,149.131181,-35.1644054,POINT (149.131181 -35.1644054),0.0
Westfield Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:30:00,15:00:00,monitor,149.0650422,-35.2380765,POINT (149.0650422 -35.2380765),1.0
Woolworths Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,13:30:00,15:00:00,casual,149.0652762,-35.2386596,POINT (149.0652762 -35.2386596),1.0
Woolworths Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,ACT,2021-09-19,14:00:00,15:00:00,casual,149.0652762,-35.2386596,POINT (149.0652762 -35.2386596),1.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-19,18:10:00,18:55:00,casual,149.092436,-35.457644,POINT (149.092436 -35.457644),0.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-19,19:00:00,22:00:00,casual,149.092436,-35.457644,POINT (149.092436 -35.457644),3.0
Woolworths Cooleman Court,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-09-19,17:00:00,18:00:00,monitor,149.052681,-35.340765,POINT (149.052681 -35.340765),1.0
Woolworths Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-19,10:00:00,11:00:00,casual,149.098702,-35.4035739,POINT (149.098702 -35.4035739),1.0
Woolworths Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-09-19,11:45:00,12:30:00,monitor,149.098702,-35.4035739,POINT (149.098702 -35.4035739),0.0
Woolworths Metro Franklin,Corner Flemington Road and Nullarbor Avenue,Franklin,ACT,2021-09-19,18:45:00,19:50:00,casual,149.1488768,-35.2000983,POINT (149.1488768 -35.2000983),1.0
"7 London Circuit, Building B Level 5 Construction Zone","7 London Circuit, City",Canberra City,ACT,2021-09-20,06:50:00,16:00:00,close,149.124883,-35.2816791,POINT (149.124883 -35.2816791),9.0
7-Eleven Holt,88 Hardwick Crescent,Holt,ACT,2021-09-20,13:00:00,13:30:00,monitor,149.0178943,-35.2209147,POINT (149.0178943 -35.2209147),0.0
7-Eleven Spence,2 Glassey Place,Spence,ACT,2021-09-20,16:30:00,17:00:00,monitor,149.062332,-35.1947608,POINT (149.062332 -35.1947608),0.0
80/20 Food Kingston,5/10 Parbery Street,Kingston,ACT,2021-09-20,07:00:00,14:45:00,casual,149.1494419,-35.3169003,POINT (149.1494419 -35.3169003),7.0
ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-09-20,15:00:00,16:00:00,monitor,149.0955181,-35.1745081,POINT (149.0955181 -35.1745081),1.0
Ampol Foodary Weston,49 Brierly Street,Weston,ACT,2021-09-20,14:05:00,14:45:00,monitor,149.0520681,-35.3402449,POINT (149.0520681 -35.3402449),0.0
B&B Emporium Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-09-20,15:00:00,16:00:00,monitor,149.0959449,-35.17447,POINT (149.0959449 -35.17447),1.0
Bakers Delight Lanyon,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-09-20,17:00:00,17:45:00,monitor,149.0922789,-35.4573663,POINT (149.0922789 -35.4573663),0.0
Calvary Haydon Retirement Community Aged Care Facility (Mary Potter Household only) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-20,00:00:00,23:59:00,close,149.087947,-35.250192,POINT (149.087947 -35.250192),23.0
Calvary Haydon Retirement Community Aged Care Facility (refer to Close Contacts entry if attended Mary Potter or St Teresa Household) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-20,00:00:00,23:59:00,casual,149.087947,-35.250192,POINT (149.087947 -35.250192),23.0
Calvary Haydon Retirement Community Aged Care Facility (St. Teresa Household only) – Visitors Only,2 Jaeger Circuit,Bruce,ACT,2021-09-20,00:00:00,07:00:00,close,149.087947,-35.250192,POINT (149.087947 -35.250192),7.0
Capital Chemist University of Canberra,"Building 28, Allawoona Street and Ginninderra Drive",Bruce,ACT,2021-09-20,09:30:00,10:10:00,monitor,149.0877074,-35.2347083,POINT (149.0877074 -35.2347083),0.0
CAPS Clinic (360UV Skin Cancer Clinic on Level 1 only),7 Phipps Close,Deakin,ACT,2021-09-20,08:00:00,17:10:00,casual,149.094371,-35.32627,POINT (149.094371 -35.32627),9.0
CAPS Clinic (CAPS Offices on Level 1 only),7 Phipps Close,Deakin,ACT,2021-09-20,08:00:00,17:10:00,close,149.094371,-35.32627,POINT (149.094371 -35.32627),9.0
CAPS Clinic (Sole'vita Hospital on Ground Level only),7 Phipps Close,Deakin,ACT,2021-09-20,16:20:00,17:10:00,casual,149.094371,-35.32627,POINT (149.094371 -35.32627),0.0
Coffee Guru Jamison,"Jamison Plaza, Bowman Street",Macquarie,ACT,2021-09-20,11:45:00,12:30:00,monitor,149.0706677,-35.253009,POINT (149.0706677 -35.253009),0.0
